Job Description Index,Company Name,Position Title,TF-IDF Most similar cluster index,CountVectorizer Most similar cluster index,Word2Vec Most similar cluster index,TF-IDF Similarity Scores,CountVectorizer Similarity Scores,Word2Vec Similarity Scores,Most Similar Resume ID (TF-IDF),Most Similar Resume Score (TF-IDF),Most Similar Resume ID (CountVectorizer),Most Similar Resume Score (CountVectorizer),Most Similar Resume ID (Word2Vec),Most Similar Resume Score (Word2Vec)
Average,,,,,,0.003927236455674431,0.004003370407437633,0.008507221009559899,,,,,,
1,Google,Sales Specialist,4,3,1,0.3380831679412844,0.41730864519538613,0.7702243437860032,26919036,0.5011104640317994,26919036,0.5364470243112677,25162378,0.8709798
2,Apple,Apple Solutions Consultant,4,3,1,0.34933281841286,0.4220938834425756,0.6652278419557366,17189156,0.4677605833039,25547145,0.496606819968213,13386301,0.810603
3,Netflix,Licensing Coordinator - Consumer Products,2,0,1,0.3022791641869717,0.32953805890696464,0.827347086855142,13764840,0.43122294808996564,13764840,0.4865829896126116,25162378,0.8775284
4,Robert Half,Web Designer,3,2,4,0.36380218305593953,0.31877197460657736,0.6805286970885862,37664296,0.5699370728965352,37664296,0.5481204817436381,12144825,0.85472107
5,TrackFive,Web Developer,3,0,4,0.3204104919809507,0.35371698883755975,0.7506408437212463,25207620,0.5735310937832931,25207620,0.5657608647608623,28126340,0.7993527
6,DesignUps,Frontend Web Developer,3,0,4,0.22472374094946618,0.2019719157688047,0.5879096594538223,91153752,0.47689752337591174,91153752,0.46905600314779755,33141415,0.73216414
7,"Equisolve, Inc.",Remote Website Designer,3,2,4,0.42503156590916524,0.38467481662741876,0.8005100549884194,37263609,0.804231293018699,37263609,0.7834695900523436,26790545,0.88762295
8,Zander Insurance Agency,Web Designer,3,0,1,0.33387390514226173,0.3319481402306209,0.7489244468956544,91153752,0.6380712328715937,91153752,0.6330928936149968,80679862,0.87873054
9,Tuff,Web Designer,3,0,4,0.41073379721585696,0.4013609362460267,0.7770764088076743,25207620,0.5167910579423222,25207620,0.493964562277766,26790545,0.8573227
10,General Dynamics Information Technology,SR. Web Designer,3,0,4,0.28166186189553266,0.2534895976823662,0.648270137602309,91153752,0.523559879073833,91153752,0.5251458941253673,33141415,0.8178
